Team,Logo,M1,D1,L1,T1,M2,D2,L2,T2,M3,D3,L3,T3,M4,D4,L4,T4,M5,D5,L5,T5,M6,D6,L6,T6,M7,D7,L7,T7,M8,D8,L8,T8,M9,D9,L9,T9,M10,D10,L10,T10,M11,D11,L11,T11,M12,D12,L12,T12
Air Force,\Logos\Air Force.png,SEP,1,H,\Logos\Stony Brook.png,SEP,8,A,\Logos\FL Atlantic.png,SEP,22,A,\Logos\Utah St.png,SEP,29,H,\Logos\Nevada.png,OCT,6,H,\Logos\Navy.png,OCT,12,A,\Logos\San Diego St.png,OCT,19,A,\Logos\UNLV.png,OCT,27,H,\Logos\Boise St.png,NOV,3,A,\Logos\Army.png,NOV,10,H,\Logos\New Mexico.png,NOV,17,A,\Logos\Wyoming.png,NOV,22,H,\Logos\Colorado St.png
Akron,\Logos\Akron.png,SEP,1,A,\Logos\Nebraska.png,SEP,8,H,\Logos\Morgan St.png,SEP,15,A,\Logos\Northwestern.png,SEP,22,A,\Logos\Iowa St.png,OCT,6,H,\Logos\Miami OH.png,OCT,13,A,\Logos\Buffalo.png,OCT,20,A,\Logos\Kent.png,OCT,27,H,\Logos\C Michigan.png,NOV,1,H,\Logos\N Illinois.png,NOV,10,A,\Logos\E Michigan.png,NOV,17,H,\Logos\Bowling Green.png,NOV,23,A,\Logos\Ohio.png
Alabama,\Logos\Alabama.png,SEP,1,N,\Logos\Louisville.png,SEP,8,H,\Logos\Arkansas St.png,SEP,15,A,\Logos\Mississippi.png,SEP,22,H,\Logos\Texas A&M.png,SEP,29,H,\Logos\ULL.png,OCT,6,A,\Logos\Arkansas.png,OCT,13,H,\Logos\Missouri.png,OCT,20,A,\Logos\Tennessee.png,NOV,3,A,\Logos\LSU.png,NOV,10,H,\Logos\Mississippi St.png,NOV,17,H,\Logos\Citadel.png,NOV,24,H,\Logos\Auburn.png
Appalachian St,\Logos\Appalachian St.png,SEP,1,A,\Logos\Penn St.png,SEP,8,A,\Logos\Charlotte.png,SEP,15,H,\Logos\Southern Miss.png,SEP,22,H,\Logos\Gardner Webb.png,SEP,29,H,\Logos\South Alabama.png,OCT,9,A,\Logos\Arkansas St.png,OCT,20,H,\Logos\ULL.png,OCT,25,A,\Logos\Ga Southern.png,NOV,3,A,\Logos\Coastal Car.png,NOV,10,A,\Logos\Texas St.png,NOV,17,H,\Logos\Georgia St.png,NOV,24,H,\Logos\Troy.png
Arizona,\Logos\Arizona.png,SEP,1,H,\Logos\BYU.png,SEP,8,A,\Logos\Houston.png,SEP,15,H,\Logos\Southern Utah.png,SEP,22,A,\Logos\Oregon St.png,SEP,29,H,\Logos\USC.png,OCT,6,H,\Logos\California.png,OCT,12,A,\Logos\Utah.png,OCT,20,A,\Logos\UCLA.png,OCT,27,H,\Logos\Oregon.png,NOV,2,H,\Logos\Colorado.png,NOV,17,A,\Logos\Washington St.png,NOV,24,H,\Logos\Arizona St.png
Arizona St,\Logos\Arizona St.png,SEP,1,H,\Logos\UT San Antonio.png,SEP,8,H,\Logos\Michigan St.png,SEP,15,A,\Logos\San Diego St.png,SEP,22,A,\Logos\Washington.png,SEP,29,H,\Logos\Oregon St.png,OCT,6,A,\Logos\Colorado.png,OCT,18,H,\Logos\Stanford.png,OCT,27,A,\Logos\USC.png,NOV,3,H,\Logos\Utah.png,NOV,10,H,\Logos\UCLA.png,NOV,17,A,\Logos\Oregon.png,NOV,24,A,\Logos\Arizona.png
Arkansas,\Logos\Arkansas.png,SEP,1,H,\Logos\E Illinois.png,SEP,8,A,\Logos\Colorado St.png,SEP,15,H,\Logos\North Texas.png,SEP,22,A,\Logos\Auburn.png,SEP,29,N,\Logos\Texas A&M.png,OCT,6,H,\Logos\Alabama.png,OCT,13,N,\Logos\Mississippi.png,OCT,20,H,\Logos\Tulsa.png,OCT,27,H,\Logos\Vanderbilt.png,NOV,10,H,\Logos\LSU.png,NOV,17,A,\Logos\Mississippi St.png,NOV,24,A,\Logos\Missouri.png
Arkansas St,\Logos\Arkansas St.png,SEP,1,H,\Logos\SE Missouri St.png,SEP,8,A,\Logos\Alabama.png,SEP,15,A,\Logos\Tulsa.png,SEP,22,H,\Logos\UNLV.png,SEP,29,A,\Logos\Ga Southern.png,OCT,9,H,\Logos\Appalachian St.png,OCT,18,H,\Logos\Georgia St.png,OCT,27,A,\Logos\ULL.png,NOV,3,H,\Logos\South Alabama.png,NOV,10,A,\Logos\Coastal Car.png,NOV,17,H,\Logos\ULM.png,NOV,24,A,\Logos\Texas St.png
Army,\Logos\Army.png,AUG,31,A,\Logos\Duke.png,SEP,8,H,\Logos\Liberty.png,SEP,15,H,\Logos\Hawaii.png,SEP,22,A,\Logos\Oklahoma.png,SEP,29,A,\Logos\Buffalo.png,OCT,13,A,\Logos\San Jose St.png,OCT,20,H,\Logos\Miami OH.png,OCT,27,A,\Logos\E Michigan.png,NOV,3,H,\Logos\Air Force.png,NOV,10,H,\Logos\Lafayette.png,NOV,17,H,\Logos\Colgate.png,DEC,8,N,\Logos\Navy.png
Auburn,\Logos\Auburn.png,SEP,1,N,\Logos\Washington.png,SEP,8,H,\Logos\Alabama St.png,SEP,15,H,\Logos\LSU.png,SEP,22,H,\Logos\Arkansas.png,SEP,29,H,\Logos\Southern Miss.png,OCT,6,A,\Logos\Mississippi St.png,OCT,13,H,\Logos\Tennessee.png,OCT,20,A,\Logos\Mississippi.png,NOV,3,H,\Logos\Texas A&M.png,NOV,10,A,\Logos\Georgia.png,NOV,17,H,\Logos\Liberty.png,NOV,24,A,\Logos\Alabama.png
Ball St,\Logos\Ball St.png,AUG,30,H,\Logos\Central Conn.png,SEP,8,A,\Logos\Notre Dame.png,SEP,15,A,\Logos\Indiana.png,SEP,22,H,\Logos\WKU.png,SEP,29,H,\Logos\Kent.png,OCT,6,H,\Logos\N Illinois.png,OCT,13,A,\Logos\C Michigan.png,OCT,20,H,\Logos\E Michigan.png,OCT,25,A,\Logos\Ohio.png,OCT,31,A,\Logos\Toledo.png,NOV,13,H,\Logos\W Michigan.png,NOV,20,A,\Logos\Miami OH.png
Baylor,\Logos\Baylor.png,SEP,1,H,\Logos\Abilene Chr.png,SEP,8,A,\Logos\UT San Antonio.png,SEP,15,H,\Logos\Duke.png,SEP,22,H,\Logos\Kansas.png,SEP,29,A,\Logos\Oklahoma.png,OCT,6,H,\Logos\Kansas St.png,OCT,13,A,\Logos\Texas.png,OCT,25,A,\Logos\West Virginia.png,NOV,3,H,\Logos\Oklahoma St.png,NOV,10,A,\Logos\Iowa St.png,NOV,17,H,\Logos\TCU.png,NOV,24,N,\Logos\Texas Tech.png
Boise St,\Logos\Boise St.png,SEP,1,A,\Logos\Troy.png,SEP,8,H,\Logos\Connecticut.png,SEP,15,A,\Logos\Oklahoma St.png,SEP,29,A,\Logos\Wyoming.png,OCT,6,H,\Logos\San Diego St.png,OCT,13,A,\Logos\Nevada.png,OCT,19,H,\Logos\Colorado St.png,OCT,27,A,\Logos\Air Force.png,NOV,3,H,\Logos\BYU.png,NOV,9,H,\Logos\Fresno St.png,NOV,16,A,\Logos\New Mexico.png,NOV,24,H,\Logos\Utah St.png
Boston College,\Logos\Boston College.png,SEP,1,H,\Logos\Massachusetts.png,SEP,8,H,\Logos\Holy Cross.png,SEP,13,A,\Logos\Wake Forest.png,SEP,22,A,\Logos\Purdue.png,SEP,29,H,\Logos\Temple.png,OCT,6,A,\Logos\NC State.png,OCT,13,H,\Logos\Louisville.png,OCT,26,H,\Logos\Miami FL.png,NOV,3,A,\Logos\Virginia Tech.png,NOV,10,H,\Logos\Clemson.png,NOV,17,A,\Logos\Florida St.png,NOV,24,H,\Logos\Syracuse.png
Bowling Green,\Logos\Bowling Green.png,SEP,1,A,\Logos\Oregon.png,SEP,8,H,\Logos\Maryland.png,SEP,15,H,\Logos\E Kentucky.png,SEP,22,H,\Logos\Miami OH.png,SEP,29,A,\Logos\Georgia Tech.png,OCT,6,A,\Logos\Toledo.png,OCT,13,H,\Logos\W Michigan.png,OCT,20,A,\Logos\Ohio.png,OCT,30,H,\Logos\Kent.png,NOV,10,A,\Logos\C Michigan.png,NOV,17,A,\Logos\Akron.png,NOV,23,H,\Logos\Buffalo.png
